Time [min],Power [kW],Cumulative Energy [kWh],Normalized Load
1203,30.0,102.41666666666526,0.18181818181818182
1204,30.0,101.91666666666526,0.18181818181818182
1205,30.0,101.41666666666526,0.18181818181818182
1206,30.0,100.91666666666526,0.18181818181818182
1207,30.0,100.41666666666526,0.18181818181818182
1208,30.0,99.91666666666526,0.18181818181818182
1209,30.0,99.41666666666526,0.18181818181818182
1210,30.0,98.91666666666526,0.18181818181818182
1211,30.0,98.41666666666526,0.18181818181818182
1212,30.0,97.91666666666526,0.18181818181818182
1213,30.0,97.41666666666526,0.18181818181818182
1214,30.0,96.91666666666526,0.18181818181818182
1215,30.0,96.41666666666526,0.18181818181818182
1216,30.0,95.91666666666526,0.18181818181818182
1217,30.0,95.41666666666526,0.18181818181818182
1218,30.0,94.91666666666526,0.18181818181818182
1219,30.0,94.41666666666526,0.18181818181818182
1220,30.0,93.91666666666526,0.18181818181818182
1221,30.0,93.41666666666526,0.18181818181818182
1222,30.0,92.91666666666526,0.18181818181818182
1223,30.0,92.41666666666526,0.18181818181818182
1224,30.0,91.91666666666526,0.18181818181818182
1225,30.0,91.41666666666526,0.18181818181818182
1226,30.0,90.91666666666526,0.18181818181818182
1227,30.0,90.41666666666526,0.18181818181818182
1228,30.0,89.91666666666526,0.18181818181818182
1229,30.0,89.41666666666526,0.18181818181818182
1230,30.0,88.91666666666526,0.18181818181818182
1231,30.0,88.41666666666526,0.18181818181818182
1232,30.0,87.91666666666526,0.18181818181818182
1233,30.0,87.41666666666526,0.18181818181818182
1234,30.0,86.91666666666526,0.18181818181818182
1235,30.0,86.41666666666526,0.18181818181818182
1236,30.0,85.91666666666526,0.18181818181818182
1237,30.0,85.41666666666526,0.18181818181818182
1238,30.0,84.91666666666526,0.18181818181818182
1239,30.0,84.41666666666526,0.18181818181818182
1240,30.0,83.91666666666526,0.18181818181818182
1241,30.0,83.41666666666526,0.18181818181818182
1242,30.0,82.91666666666526,0.18181818181818182
1243,30.0,82.41666666666526,0.18181818181818182
1244,30.0,81.91666666666526,0.18181818181818182
1245,30.0,81.41666666666526,0.18181818181818182
1246,30.0,80.91666666666526,0.18181818181818182
1247,30.0,80.41666666666526,0.18181818181818182
1248,30.0,79.91666666666526,0.18181818181818182
1249,30.0,79.41666666666526,0.18181818181818182
1250,30.0,78.91666666666526,0.18181818181818182
1251,30.0,78.41666666666526,0.18181818181818182
1252,30.0,77.91666666666526,0.18181818181818182
1253,30.0,77.41666666666526,0.18181818181818182
1254,30.0,76.91666666666526,0.18181818181818182
1255,30.0,76.41666666666526,0.18181818181818182
1256,30.0,75.91666666666526,0.18181818181818182
1257,30.0,75.41666666666526,0.18181818181818182
1258,30.0,74.91666666666526,0.18181818181818182
1259,30.0,74.41666666666526,0.18181818181818182
1260,30.0,73.91666666666526,0.18181818181818182
1261,30.0,73.41666666666526,0.18181818181818182
1262,30.0,72.91666666666526,0.18181818181818182
1263,30.0,72.41666666666526,0.18181818181818182
1264,30.0,71.91666666666526,0.18181818181818182
1265,30.0,71.41666666666526,0.18181818181818182
1266,30.0,70.91666666666526,0.18181818181818182
1267,30.0,70.41666666666526,0.18181818181818182
1268,30.0,69.91666666666526,0.18181818181818182
1269,30.0,69.41666666666526,0.18181818181818182
1270,30.0,68.91666666666526,0.18181818181818182
1271,30.0,68.41666666666526,0.18181818181818182
1272,30.0,67.91666666666526,0.18181818181818182
1273,30.0,67.41666666666526,0.18181818181818182
1274,30.0,66.91666666666526,0.18181818181818182
1275,30.0,66.41666666666526,0.18181818181818182
1276,30.0,65.91666666666526,0.18181818181818182
1277,30.0,65.41666666666526,0.18181818181818182
1278,30.0,64.91666666666526,0.18181818181818182
1279,30.0,64.41666666666526,0.18181818181818182
1280,30.0,63.916666666665265,0.18181818181818182
1281,30.0,63.416666666665265,0.18181818181818182
1282,30.0,62.916666666665265,0.18181818181818182
1283,30.0,62.416666666665265,0.18181818181818182
1284,30.0,61.916666666665265,0.18181818181818182
1285,30.0,61.416666666665265,0.18181818181818182
1286,30.0,60.916666666665265,0.18181818181818182
1287,30.0,60.416666666665265,0.18181818181818182
1288,30.0,59.916666666665265,0.18181818181818182
1289,30.0,59.416666666665265,0.18181818181818182
1290,30.0,58.916666666665265,0.18181818181818182
1291,30.0,58.416666666665265,0.18181818181818182
1292,30.0,57.916666666665265,0.18181818181818182
1293,30.0,57.416666666665265,0.18181818181818182
1294,30.0,56.916666666665265,0.18181818181818182
1295,30.0,56.416666666665265,0.18181818181818182
1296,30.0,55.916666666665265,0.18181818181818182
1297,30.0,55.416666666665265,0.18181818181818182
1298,30.0,54.916666666665265,0.18181818181818182
1299,30.0,54.416666666665265,0.18181818181818182
1300,30.0,53.916666666665265,0.18181818181818182
1301,30.0,53.416666666665265,0.18181818181818182
1302,30.0,52.916666666665265,0.18181818181818182
1303,30.0,52.416666666665265,0.18181818181818182
1304,30.0,51.916666666665265,0.18181818181818182
1305,30.0,51.416666666665265,0.18181818181818182
1306,30.0,50.916666666665265,0.18181818181818182
1307,30.0,50.416666666665265,0.18181818181818182
1308,30.0,49.916666666665265,0.18181818181818182
1309,30.0,49.416666666665265,0.18181818181818182
1310,30.0,48.916666666665265,0.18181818181818182
1311,30.0,48.416666666665265,0.18181818181818182
1312,30.0,47.916666666665265,0.18181818181818182
1313,30.0,47.416666666665265,0.18181818181818182
1314,30.0,46.916666666665265,0.18181818181818182
1315,30.0,46.416666666665265,0.18181818181818182
1316,30.0,45.916666666665265,0.18181818181818182
1317,30.0,45.416666666665265,0.18181818181818182
1318,30.0,44.916666666665265,0.18181818181818182
1319,30.0,44.416666666665265,0.18181818181818182
1320,30.0,43.916666666665265,0.18181818181818182
